--------------------------------------------------------------------------------------------------------------------------------------
NUM. REGISTRO |  ESTATUS |       MATRICULA |    NOMBRE |        APELLIDO PATERNO |   APELLIDO MATERNO |   EDAD |     GENERO    
--------------------------------------------------------------------------------------------------------------------------------------
1                0               300319         DIANA           RIOS                 QUINTERO             90         MUJER     
2                1               300731         JONATHAN        CERVANTES            MONTOYA              65         HOMBRE    
3                0               300918         RAQUEL          RIOS                 CERVANTES            80         MUJER     
4                0               304453         MARCOS          MONTOYA              QUINTERO             91         HOMBRE    
5                0               305999         RAMON           GUZMAN               GUERRERO             66         HOMBRE    
6                1               306678         ISABELLA        CISNEROS             BENITEZ              86         MUJER     
7                0               307941         MANUEL          NAVARRO              ACOSTA               49         HOMBRE    
8                0               308612         SARA            RIOS                 QUINTERO             41         MUJER     
9                0               308647         ALEJANDRO       RIOS                 QUINTERO             37         HOMBRE    
10               0               309431         RAMON           BENITEZ              DELGADO              76         HOMBRE    
11               0               310826         DIANA           ESCOBAR              VELAZQUEZ            79         MUJER     
12               0               311556         CARMEN          NAVARRO              CERVANTES            49         MUJER     
13               0               312488         ADRIANA         QUINTERO             CERVANTES            89         MUJER     
14               1               313459         JAFET           CISNEROS             BENITEZ              32         HOMBRE    
15               0               313570         MATEO           GALLEGOS             MEDINA               75         HOMBRE    
16               1               314085         EMMANUEL        BENITEZ              GALLEGOS             26         HOMBRE    
17               1               314143         ROSA            MENDOZA              QUINTERO             50         MUJER     
18               0               315354         PALOMA          ACOSTA               ZAMORA               65         MUJER     
19               0               316387         JOSUE           GALLEGOS             VELAZQUEZ            82         HOMBRE    
20               0               316599         DANIEL          QUINTERO             MENDOZA              95         HOMBRE    
21               0               321162         ARMANDO         CERVANTES            RIVAS                72         HOMBRE    
22               1               321300         JOSUE           GALLEGOS             MENDOZA              76         HOMBRE    
23               0               321325         GABRIELA        ACOSTA               MEDINA               33         MUJER     
24               1               322745         ANGEL           VELAZQUEZ            MONTOYA              64         HOMBRE    
